id;type_of_via;name;zip_code;area_disctrict;lat;lon
1;STREET;Lilangeni Frozen hacking;53874-8490;EAST_END;90396;57606
2;STREET;Berkshire Health;22519-7210;WEST_BAY;4525;54594
3;BOULEVARD;generate Berkshire invoice;15856-3813;GEORGE_TOWN;26724;53545
4;ROAD;driver Alaska contextually-based;08798-3934;NORTH_SIDE;84998;72092
5;ROAD;HTTP Shirt Gardens;76264-5186;GEORGE_TOWN;91604;32889
6;ROAD;Savings Account Gorgeous invoice;79455-6153;GEORGE_TOWN;74847;76067
7;STREET;payment multi-tasking Tasty;39330;WEST_BAY;60995;89724
8;SQUARE;Shoes;13183-2339;WEST_BAY;72951;66550
9;BOULEVARD;regional Unbranded compelling;43912-6868;NORTH_SIDE;25910;27049
10;ROAD;Practical Frozen;09380-1762;BODDEN_TOWN;64803;4652
