id;description;create_at;modified_at;type_ad;property_type;active;price;reference
1;24 hour bluetooth connect;2020-05-22;2020-05-22;FOR_SELL;LAND;false;48629;payment
2;Berkshire Metal invoice;2020-05-21;2020-05-21;FOR_SELL;NEWDEVELOPMENT;true;79358;scale North Dakota quantify
3;cyan turquoise Kids;2020-05-22;2020-05-21;FOR_SELL;BUILDING;true;29693;SSL aggregate
4;adapter Rial Omani;2020-05-21;2020-05-21;FOR_RENT;HOME;false;46924;Auto Loan Account
5;Vietnam Assistant;2020-05-21;2020-05-21;FOR_SELL;LAND;false;71010;Grocery Applications
6;synthesizing;2020-05-21;2020-05-21;FOR_SELL;ROOM;true;8334;backing up Savings Account
7;bypassing quantify connecting;2020-05-21;2020-05-22;FOR_RENT;HOME;true;74882;Hat Falls Sleek Frozen Bacon
8;success Tasty;2020-05-22;2020-05-22;FOR_RENT;HOME;false;30201;Avon Health Sausages
9;Metal mobile;2020-05-22;2020-05-21;FOR_RENT;LAND;false;46143;synergize Operative
10;hack experiences;2020-05-21;2020-05-21;FOR_SELL;STORAGEROOM;true;77079;analyzer Internal Throughway
