id;number_bedrooms;number_bathroom;full_kitchen;elevator;parking;air_conditionair;backyard;pool;m_2
1;3;2;true;true;true;true;true;true;150
2;3;1;false;true;true;true;true;true;200
3;2;1;false;false;false;true;false;true;75
4;2;2;true;false;true;false;false;true;90
5;4;2;true;false;true;false;true;false;110
6;4;2;true;false;true;false;true;false;125
7;5;3;false;true;true;false;true;true;300
8;2;2;true;true;true;true;false;false;100
9;2;1;false;true;true;false;true;true;95
10;1;1;false;true;true;true;false;true;85
